,0
646,44480.00000000001
647,44123.70000000001
648,44409.000000000015
649,44294.90000000001
650,44285.60000000001
651,44263.8
652,44336.8
653,44394.3
654,44406.5
655,44322.7
656,44536.00000000001
657,44219.80000000001
658,44431.200000000004
659,44396.90000000001
660,44400.00000000001
661,44279.50000000001
662,44308.80000000001
663,44377.50000000001
664,44292.80000000001
665,44289.100000000006
666,44291.60000000001
667,44314.900000000016
668,44386.80000000002
669,44276.30000000002
670,44531.500000000015
671,44483.70000000001
672,44442.90000000002
673,44307.000000000015
674,44449.000000000015
675,44131.000000000015
676,44348.000000000015
677,44401.3
678,44234.3
679,44347.3
680,44310.8
681,44347.7
682,44262.700000000004
683,44441.8
684,44353.700000000004
685,44451.00000000001
686,44416.50000000001
687,44275.00000000001
688,44615.0
689,44595.9
690,44675.80000000001
691,44415.50000000001
692,44517.00000000001
693,44252.50000000001
694,44317.30000000001
695,44321.600000000006
696,44341.20000000001
697,44365.000000000015
698,44163.000000000015
699,44464.000000000015
700,44402.70000000001
701,44366.70000000001
702,44373.00000000001
703,44315.700000000004
704,44363.100000000006
705,44419.4
706,44099.50000000001
707,44306.50000000001
708,44256.8
709,44309.40000000001
710,44309.50000000001
711,44460.40000000001
712,44329.50000000001
713,44587.200000000004
714,44479.200000000004
715,44319.4
716,44213.3
717,44330.0
718,44224.2
719,44456.600000000006
720,44220.7
721,44445.09999999999
722,44360.99999999999
723,44196.69999999999
724,44396.899999999994
725,44221.299999999996
726,44397.9
727,44355.2
728,44422.69999999999
729,44329.39999999999
730,44559.39999999999
731,44416.999999999985
732,44567.999999999985
733,44200.69999999998
734,44295.79999999999
735,44320.89999999999
736,44309.399999999994
737,44416.29999999998
738,44193.89999999998
739,44366.899999999994
740,44372.799999999996
741,44430.19999999999
742,44252.1
743,44351.299999999996
744,44497.49999999999
745,44094.99999999999
746,44345.499999999985
747,44407.69999999999
748,44276.89999999999
749,44360.299999999996
750,44293.69999999999
751,44333.299999999996
752,44495.59999999999
753,44224.59999999999
754,44222.29999999999
755,44308.999999999985
756,44200.49999999998
757,44381.999999999985
758,44269.499999999985
759,44227.699999999975
760,44434.99999999998
761,44253.69999999998
762,44405.69999999998
763,44286.39999999998
764,44313.79999999999
765,44400.29999999999
766,44215.99999999999
767,44412.999999999985
768,44172.099999999984
769,44377.99999999998
770,44243.39999999999
771,44355.99999999998
772,44303.59999999998
773,44511.99999999998
774,44662.89999999998
775,44539.89999999998
776,44488.59999999998
777,44201.19999999998
778,44453.99999999998
779,44205.99999999998
780,44305.39999999998
781,44310.49999999997
782,44322.799999999974
783,44225.89999999998
784,44261.199999999975
785,44327.79999999998
786,44264.39999999997
787,44284.299999999974
788,44355.59999999998
789,44292.09999999998
790,44406.09999999996
791,44413.49999999997
792,44355.69999999997
793,44550.99999999997
794,44436.49999999997
795,44413.79999999997
796,44348.799999999974
797,44331.89999999997
798,44273.399999999965
799,44453.799999999974
800,44282.39999999997
801,44461.39999999998
802,44333.699999999975
803,44252.799999999974
804,44389.49999999998
805,44252.49999999998
806,44260.49999999998
807,44410.59999999998
808,44279.299999999974
809,44397.89999999998
810,44211.599999999984
811,44478.999999999985
812,44165.29999999998
813,44396.99999999998
814,44374.299999999974
815,44479.29999999998
816,44389.699999999975
817,44354.29999999997
818,44400.49999999997
819,44244.799999999974
820,44306.799999999974
821,44253.699999999975
822,44396.09999999997
823,44259.99999999997
824,44302.09999999997
825,44487.19999999996
826,44292.59999999997
827,44425.999999999956
828,44314.999999999956
829,44454.999999999956
830,44273.29999999996
831,44481.799999999974
832,44364.799999999974
833,44247.49999999997
834,44445.19999999996
835,44152.29999999997
836,44345.399999999965
837,44471.29999999997
838,44248.69999999997
839,44493.99999999997
840,44304.69999999997
841,44527.39999999997
842,44427.99999999997
843,44369.39999999997
844,44405.39999999997
845,44541.99999999997
846,44161.39999999997
847,44284.299999999974
848,44517.39999999997
849,44146.59999999997
850,44442.99999999998
851,44289.89999999997
852,44595.59999999998
853,44537.799999999974
854,44511.799999999974
855,44210.99999999998
856,44313.299999999974
857,44403.49999999998
858,44199.599999999984
859,44338.89999999999
860,44480.39999999998
861,44197.39999999998
862,44447.299999999996
863,44443.299999999996
864,44306.29999999999
865,44307.99999999999
866,44518.09999999999
867,44261.99999999999
868,44554.99999999999
869,44420.1
870,44535.99999999999
871,44397.6
872,44634.69999999999
873,44543.999999999985
874,44492.69999999998
875,44503.99999999999
876,44249.79999999998
877,44515.99999999999
878,44191.499999999985
879,44448.99999999999
880,44362.499999999985
881,44420.89999999999
882,44319.799999999996
883,44175.69999999998
884,44249.19999999998
885,44381.499999999985
886,44370.29999999999
887,44381.599999999984
888,44350.29999999998
889,44264.999999999985
890,44327.799999999974
891,44304.499999999985
892,44383.09999999998
893,44364.89999999998
894,44318.89999999999
895,44438.999999999985
896,44234.79999999998
897,44316.599999999984
898,44508.29999999998
899,44117.39999999998
900,44306.09999999998
901,44228.89999999999
902,44329.09999999999
903,44271.59999999999
904,44340.89999999999
905,44302.89999999999
906,44350.19999999999
